,C1,C2,C3,E1,E2,E3,FSI,P1,P2,P3,S1,S2,X1,country
306,7.9,9.1,9.3,5.9,7.6,7.8,90.7,8.0,5.6,8.8,6.0,8.2,6.4,Sri Lanka2015
307,9.5,9.8,9.7,8.6,7.9,8.8,110.8,9.6,8.8,9.6,8.7,10.0,9.8,Sudan2015
308,5.4,5.8,5.8,6.8,6.6,7.3,68.4,5.5,5.8,4.9,5.3,3.0,6.2,Suriname2015
309,6.0,6.8,3.7,9.3,8.1,6.9,86.2,8.5,7.5,8.5,8.5,4.9,7.6,Swaziland2015
310,2.1,1.8,1.3,2.3,1.8,1.5,20.2,1.0,1.6,1.0,2.5,2.3,1.0,Sweden2015
311,1.4,1.0,3.6,2.0,2.7,2.1,22.3,1.0,1.4,1.8,1.9,2.1,1.3,Switzerland2015
312,10.0,9.9,10.0,7.5,7.0,7.4,107.8,9.9,8.2,10.0,8.1,10.0,9.9,Syria2015
313,6.8,8.4,7.3,7.4,5.6,6.3,83.4,9.1,5.9,7.6,7.8,4.8,6.4,Tajikistan2015
314,5.5,5.7,5.7,6.7,7.0,7.0,80.8,6.0,8.7,6.0,8.8,6.4,7.3,Tanzania2015
315,8.9,10.0,8.5,4.0,5.8,4.1,79.1,8.0,4.9,7.7,6.9,6.0,4.3,Thailand2015
316,7.7,8.3,6.5,8.4,6.7,7.0,90.5,7.4,8.4,5.8,8.9,6.8,8.7,Timor-Leste2015
317,7.0,7.6,4.5,6.8,8.1,7.3,86.8,8.1,8.6,7.2,8.0,7.1,6.5,Togo2015
318,5.7,5.6,4.1,4.3,5.5,7.5,58.7,5.0,4.8,4.6,5.0,3.0,3.6,Trinidad and Tobago2015
319,7.8,8.1,7.8,6.6,5.4,5.5,75.7,7.0,4.9,7.0,4.7,4.1,6.9,Tunisia2015
320,7.7,7.3,9.0,5.0,6.2,3.7,74.6,6.3,4.9,6.4,5.5,7.5,5.0,Turkey2015
321,6.8,7.8,7.1,5.0,6.9,5.1,77.4,9.7,6.1,8.8,5.7,3.9,4.6,Turkmenistan2015
322,7.6,8.9,8.7,7.0,7.3,7.3,97.0,8.0,8.3,7.9,8.9,8.8,8.3,Uganda2015
323,7.9,8.0,7.0,6.5,4.7,5.5,76.3,8.5,3.8,6.4,4.5,4.4,9.1,Ukraine2015
324,3.1,3.6,3.9,2.9,4.2,2.5,46.2,6.6,2.7,7.1,4.5,2.2,2.9,United Arab Emirates2015
325,2.5,3.5,5.6,3.9,3.7,2.1,33.4,2.0,2.1,1.8,2.6,2.4,1.2,United Kingdom2015
326,3.7,2.7,3.0,3.2,4.2,4.4,36.4,1.4,3.4,2.2,3.5,1.9,2.9,Uruguay2015
327,7.6,8.8,7.6,6.8,7.0,6.3,85.3,9.6,5.4,9.1,6.1,6.0,5.1,Uzbekistan2015
328,6.5,8.1,7.3,6.5,6.7,5.2,78.7,8.6,7.2,8.3,5.1,4.8,4.3,Venezuela2015
329,10.0,9.4,9.4,9.3,8.1,7.5,108.2,9.3,8.2,9.1,9.2,9.1,9.5,Yemen2015
330,5.0,5.7,5.7,7.7,8.6,7.8,85.1,7.4,7.6,6.8,9.4,6.9,6.6,Zambia2015
331,7.9,9.7,7.8,8.0,8.1,8.0,100.0,9.0,8.5,8.3,8.7,8.4,7.6,Zimbabwe2015
332,10.0,9.4,8.7,8.3,7.5,7.8,106.5,9.5,9.0,8.3,8.8,9.3,9.9,Afghanistan2014
333,5.0,6.2,4.7,5.5,4.5,6.9,63.6,6.5,4.8,5.5,4.4,3.4,6.2,Albania2014
334,7.5,7.3,7.9,6.1,5.9,5.0,78.8,7.5,6.1,7.4,5.7,6.7,5.7,Algeria2014
335,5.8,7.2,7.1,5.4,9.5,6.0,87.4,8.0,9.1,7.0,9.0,7.5,5.8,Angola2014
336,4.9,3.7,4.1,4.5,5.3,7.6,59.0,5.8,4.1,4.7,4.9,3.3,6.1,Antigua and Barbuda2014
337,3.3,2.8,5.3,4.3,5.7,2.7,47.3,4.3,4.1,4.4,4.2,2.3,3.9,Argentina2014
338,5.6,7.4,5.7,5.8,5.3,5.7,71.3,6.7,4.4,6.8,4.7,6.7,6.5,Armenia2014
339,2.0,1.6,3.9,2.4,3.0,0.9,26.3,1.0,2.1,2.3,3.4,2.4,1.3,Australia2014
340,1.4,2.7,4.6,2.2,3.7,1.8,28.5,1.6,1.8,2.0,2.7,2.3,1.7,Austria2014
341,7.0,7.9,6.7,4.4,6.2,4.7,77.8,8.3,5.3,7.7,5.4,7.6,6.6,Azerbaijan2014
342,6.2,7.1,7.6,3.5,5.4,3.3,64.7,7.9,2.5,7.8,4.9,2.9,5.6,Bahrain2014
343,7.8,9.3,8.7,7.0,7.5,7.2,92.8,8.4,8.4,8.0,7.6,6.9,6.0,Bangladesh2014
344,4.2,4.2,4.4,5.8,5.4,5.9,51.4,3.3,3.0,2.8,4.1,3.0,5.3,Barbados2014
345,6.1,8.3,7.1,6.0,5.5,3.7,75.0,8.8,5.0,8.1,5.5,3.6,7.3,Belarus2014
346,2.3,3.9,4.2,4.0,3.5,1.9,32.0,2.0,2.4,1.5,2.8,1.6,1.9,Belgium2014
347,5.5,4.3,4.4,5.6,6.5,6.8,67.0,6.0,6.1,4.4,6.2,4.6,6.6,Belize2014
348,5.9,6.1,3.6,6.9,7.2,6.5,78.2,6.1,8.7,5.1,8.2,6.3,7.6,Benin2014
349,5.3,7.5,7.6,6.0,7.2,7.1,80.9,5.5,6.6,7.0,6.3,7.2,7.6,Bhutan2014
350,6.4,8.0,6.8,5.9,8.6,6.1,78.9,6.9,7.0,6.0,6.6,4.3,6.3,Bolivia2014
351,6.5,8.7,7.4,5.5,5.9,5.8,75.9,6.8,4.4,6.1,4.1,6.8,7.9,Bosnia and Herzegovina2014
352,3.2,3.3,5.1,6.4,7.8,5.3,64.5,4.1,6.3,4.6,8.0,5.5,4.9,Botswana2014
353,5.6,4.9,5.6,3.6,8.0,3.8,61.4,5.4,5.6,5.6,6.7,3.6,3.0,Brazil2014
354,5.6,7.4,6.2,3.1,7.8,4.9,63.6,7.1,2.5,7.4,4.5,3.0,4.1,Brunei Darussalam2014
355,4.4,5.3,4.9,5.2,4.8,4.9,54.4,4.9,4.1,3.7,4.1,3.4,4.7,Bulgaria2014
356,6.9,7.3,5.3,7.4,8.1,6.6,89.0,7.8,8.8,6.5,9.0,7.6,7.7,Burkina Faso2014
357,7.4,7.9,8.1,8.8,7.5,6.5,97.1,8.1,8.6,8.0,8.7,9.0,8.5,Burundi2014
358,6.3,8.6,7.3,6.1,7.4,7.2,88.5,8.4,8.0,7.9,7.5,6.1,7.7,Cambodia2014
359,7.7,9.5,7.8,5.9,7.5,7.5,93.1,8.2,8.5,8.3,8.1,7.6,6.5,Cameroon2014
360,2.1,2.5,3.4,2.1,3.2,2.2,27.4,1.2,2.3,2.1,2.7,2.3,1.3,Canada2014
361,5.7,5.5,4.2,6.2,7.2,8.6,74.1,6.0,6.8,4.8,6.8,4.4,7.9,Cape Verde2014
362,9.9,9.7,9.5,7.8,9.4,7.0,110.6,9.5,9.7,9.5,8.7,10.0,9.9,Central African Republic2014
363,9.1,9.8,8.5,7.7,8.8,8.3,108.7,9.4,10.0,9.5,9.6,9.8,8.2,Chad2014
364,2.8,1.7,3.8,3.9,5.4,2.9,42.0,3.3,4.2,3.7,4.6,2.6,3.1,Chile2014
365,6.2,7.2,8.6,3.9,7.7,4.8,79.0,7.9,6.5,9.1,7.7,5.9,3.5,China2014
366,7.0,7.7,7.7,4.1,7.8,7.0,83.1,7.4,6.3,7.1,6.2,8.0,6.8,Colombia2014
367,7.5,7.5,5.3,8.3,6.7,7.5,85.1,7.1,8.2,6.9,7.3,4.8,8.0,Comoros2014
368,2.8,3.8,4.4,4.6,5.8,3.2,48.5,3.2,4.8,2.3,4.6,4.4,4.6,Costa Rica2014
369,8.8,9.4,9.0,7.4,7.6,7.0,101.7,8.8,8.7,8.7,7.8,9.1,9.4,Cote d'Ivoire2014
370,4.5,4.4,5.6,5.0,4.1,4.6,52.9,3.7,3.2,4.4,3.5,5.2,4.7,Croatia2014
371,6.0,7.2,4.8,4.8,5.9,6.0,70.8,6.8,4.9,7.0,5.9,5.0,6.5,Cuba2014
372,4.7,7.9,7.3,6.4,6.7,4.8,67.9,5.6,3.3,3.6,4.3,4.2,9.1,Cyprus2014
373,2.3,4.3,3.8,4.8,3.5,3.1,39.4,4.2,3.4,2.4,2.4,2.3,2.9,Czech Republic2014
